id,date,user,text
1205623458941550593,2019-12-13 23:00:06,QuickGoodFortun,Attitudes = feelings &amp; life returns more of what U feel. #Worried? #Stressed? Oh NO! Make changes now @ https://t.co/DIEZZszYKb #LoA
1205613463030120454,2019-12-13 22:20:23,NorahNell,@RockyTheDogg @jdpoohbear @JeffMusk @PPE_TT @Emmett_dog @dame_agnes @TillyTumTum @Stanley_dog @3phibotticelli @dieseldawwg I don’t think Stanny been tweeting again.  #worried
1205601651249340418,2019-12-13 21:33:27,louisegaunt,I am absolutely sure that I am not the only #toryvoter  #worried about @HackneyAbbott ?  This is not a joke or cheap #dig but the #shoe issue and a couple of other things don't rest easy with me.   Is she ok? because she surely doesn't look well to me
1205598854894276609,2019-12-13 21:22:20,ChiTwnSprtFan13,@jodibeth21 You're in my prayers always. 🌷🙏 How are u feeling though? #worried
1205594359267246080,2019-12-13 21:04:28,BillyVable,Has anyone heard from Jesse Jackson lately?  #worried
1205592144523780102,2019-12-13 20:55:40,Tumi_Manamela,"Christall is not mentally stable guys. Can you see though? Like, she’s always ready to go off at someone for mundane issues. I think she needs to be on meds actually 😱😳 Do normal people behave like this? #Worried #RHOJ https://t.co/tY9Ncnfyzh"
1205578527170580482,2019-12-13 20:01:34,TheRealDjango,@Enough212 @ninampls This is bad... everything that has gone wrong with Trump as president is getting worst. My disability is now next.. My preexisting conditions were first.. now this.. #worried
1205578464155308034,2019-12-13 20:01:19,TheRealDjango,This is bad... everything that has gone wrong with Trump as president is getting worst. My disability is now next.. My preexisting conditions were first.. now this.. #worried https://t.co/hhBTVDQh5d
1205578187595558917,2019-12-13 20:00:13,TySuite,"What are you mostly frustrated about everday? Maybe I can help. If not, at least you can vent it out. I’ll listen. DM me. Seriously. You are not alone. Blessings! https://t.co/i0x0MDKPWQ #Frustrated #Worried #Stuck #Trying #TheStruggleIsReal #GetItOut #Hope #Overcome"
1205554702101794816,2019-12-13 18:26:53,CheeserMa,@Incarcerated_ET I sure hope the President is protected. The swamp will go to any lengths to remain power even if that means harming POTUS. #worried
1205549043021049857,2019-12-13 18:04:24,jlm713,@MaddowBlog His cult will stand with him till the end. And people who watch Fox News will be brainwashed by the spin.#worried
1205532848507240451,2019-12-13 17:00:03,botuseless,I'm currently feeling #Worried.
1205527403403128832,2019-12-13 16:38:25,johnbetelgeuse,And were #worried about a little election New Zealand volcano: Soldiers in recovery mission risked heat exhaustion and fatal gas exposure | The Times https://t.co/IDNtbujiUV
1205524232911966208,2019-12-13 16:25:49,FedrickDouglas5,"Feeling anxious towards my choice about supporting the republicans, I don’t know if there’s going to be more good doing than bad. We’re counting on you Lincoln! #worried #electionof1860"
1205514088534749184,2019-12-13 15:45:30,susankwalker,@donwinslow Yet remember nearly every paper also supported Hillary in 2016 and look what the power of the press meant then. #discouraged #worried
1205474866801057792,2019-12-13 13:09:39,MDHillRaiser,@CapehartJ Someone needs some anger management therapy. He looks like he’s about to pop a vein. #Worried #ImpeachAndConvict
1205441671699169285,2019-12-13 10:57:45,BishtAditi,"She wants a new RJ! 😱🤯😧😦😮😯😲😳

#worriedaboutme
#worried #scared #OMG #ohmygod #rudegirl https://t.co/I6noDyoXao"
1205434770332602373,2019-12-13 10:30:19,Netsoftmate,"#Worried about your #databases for #upcoming #holiday #season? We got you covered!!

#Netsoftmate is providing exciting offers database support to cover year end and next coming year!!

Contact us to to know more about Remote DBA Support offerings.
Email: info@netsoftmate.com https://t.co/PhJ1vQg7wP"
1205417088531279874,2019-12-13 09:20:04,jemjemjamu,@Diamondtrees11 I like @DavidLammy and @jessphillips  . Let’s hope what we’re currently stuck with don’t leave too much of a mess to clear up #doubtful #worried
1205415925643653120,2019-12-13 09:15:26,coffeebaristaa,Here we go with a panic attack before #work and I got so much to do today 😩😩 #anxious #worried
1205404280141885441,2019-12-13 08:29:10,andycross8,"Three nights out in the row, starting tonight! Dreading it 🤦‍♂️🥴🎄🍺#staystrongliver #christmasnightsout  #worried #friday #saturday #sunday"
1205398581022208000,2019-12-13 08:06:31,CordaleRevis,This episode better be fire or I’m gonna be very #worried
1205393197540806656,2019-12-13 07:45:08,Hels_bells81,Oh dear! The sad thing is I believe the main objective in this election was to get ‘brexit done!’ Which effectively means voting for the conservatives! Whether we agree or not it’s happening!Shame the rest of their objectives have to come along with it! #worried #ElectionDay2019
1205387134166798336,2019-12-13 07:21:02,joswinsonsseat,HEY!!!!! Has anyone got @joswinson’s number I’m getting #worried
1205332459400966145,2019-12-13 03:43:46,chrishandyblog,"Theatrics Matter...

No one liked sitting through the 7th PowerPoint back in school from someone who didn’t know how to look up from their index cards.

There are only a handful of Congress folks on these committees who are capable of real public speaking. #worried"
1205317064929562624,2019-12-13 02:42:36,PhineasPhoton,"i think i should fill out job applications just incase, maybe nowhere with food. #worried #needmoney"
1205304070984077312,2019-12-13 01:50:58,bobbiescat,@MichaelAvenatti I feel you are like exactly right...#worried
1205261499570249728,2019-12-12 23:01:48,Samalarrr0542,I really hope we see a different result tomorrow morning! 😳 #Worried #SaveOurNHS #GeneralElection2019
1205239915904163842,2019-12-12 21:36:02,EileenFurze,@davidp80 Are you having a  breakdown? #worried
1205230102574968841,2019-12-12 20:57:03,Lloyd_Robson7,The amount of Europeans being turned away because they haven’t a polling card #worried  #ElectionDay2019
1205229901512617993,2019-12-12 20:56:15,niipaan,"Oh boy I""m making choices. First time ever playing a darksouls game... it may not work out #newgame #darksouls #stream #worried  https://t.co/ZnLTRBru8I"
1205228774662590464,2019-12-12 20:51:46,Ajaywillow1,What’s with all the dither and delay Boris!!  Bit late to the party aren’t you?? Ali Milani’s been there all day!! #Worried #VoteLabour 🌹 https://t.co/LFnDOztYQd
1205215775780421632,2019-12-12 20:00:07,TySuite,"What are you mostly frustrated about everday? Maybe I can help. If not, at least you can vent it out. I’ll listen. DM me. Seriously. You are not alone. Blessings! https://t.co/i0x0MDKPWQ #Frustrated #Worried #Stuck #Trying #TheStruggleIsReal #GetItOut #Hope #Overcome"
1205201857028734976,2019-12-12 19:04:48,Hels_bells81,"I voted! #GeneralElection2019 really feels like a lose-lose situation whichever way you vote however I don’t want a numpty like #Boris staying in anymore, he lies, hides from questions and has no empathy what’s so ever! #worried #SaveOurNHS #saveourservices #investinourfuture"
1205195174575394816,2019-12-12 18:38:15,truthteller1979,"Ok, with Andrew Scheer stepping down, who is the best person to support? @RightNowHQ ? #worried"
1205168812468899842,2019-12-12 16:53:30,deIiberance,do i’m seeing family today who don’t know i’m into kpop. i’m #worried
1205167499978977280,2019-12-12 16:48:17,Kidlutions,"Activities for #Angry, #Worried Kids https://t.co/ywEeBgMRBn https://t.co/3oD1oztp3I"
1205164810364739584,2019-12-12 16:37:36,lindahgc1986,Been stood outside polling station for last two hours not sure who to vote for #worried #nervous #needfreebroadband 🥺🥺🥺
1205160995607515137,2019-12-12 16:22:26,sibulel1,"Just a thought on the issue of educating kids about this new curriculum. As good as it has been mentioned, but I don't think it is as important as educating the kids  develop skills that can benefit the country. Our education system is getting worse every day! 
#worried"
1205128052302180354,2019-12-12 14:11:32,tezuma75,"“While the #president #Trump has said that this is helping him…the reality is, behind the scenes they are feeling the heat—the president increasingly agitated and #worried about what this is going to mean for his legacy,” 

 https://t.co/hk0JsTcgxe"
1205117804044787712,2019-12-12 13:30:49,MalcolmAMonkey,"@MannyOFay Big wave and big smile from a wet and windy England.
Now, how is that 'darn' general election going? #worried"
1205110407830147072,2019-12-12 13:01:25,TTBerkshire,Feeling #low or #worried isn't a natural part of getting older. Talking Therapies can support you to manage those worries and improve your mood with a little help from our friendly and approachable practitioners. Contact us now on 0300 365 2000. https://t.co/PMt61bDkRd
1205097576304979969,2019-12-12 12:10:26,grecianite,"@Joe_Pearcey03 @BlackettJacob @BenSm1thh Just read that, then I looked at your profile pic!! #worried"
1205085524723224578,2019-12-12 11:22:33,simondaws61,"I am so very worried about today’s election, not one of them is suitable to lead our country to give us a safe and secure future. #Worried #ElectionDay"
1205082759997218816,2019-12-12 11:11:33,style_cheers,"Join 6 people right now at ""Ask Nonna: How Can I Be A Good Host When Im Secretly Worried About Everyone Getting Along?"" #cheers #fashion #refinery #hosting #advice #nonna #host #secretly #worried #everyone #getting #along https://t.co/PSI1twsWip https://t.co/aGMsRy5epP"
1205076614888992768,2019-12-12 10:47:08,mehtasclasses,"Your journey to success begins heights here @mehtasclasses  All Subjects at Our Center Are Guided By Expert Faculty Team Of Udaipur
For Admission Details Call: +91 9214998351, 9664301782
Visit:-www.drmehtaclasses.com
Advertising Buddy- @keenkbp

#tips #tricks #crack #worried https://t.co/yzyOluX26g"
1205049873638162433,2019-12-12 09:00:53,TheEarthNews1,#Bangladesh #worried #CAB-#NRC will end #golden #chapter in #Delhi-#Dhaka ties https://t.co/ncXEEflMXc
